"Unit";"season";"sample";"site";"l.site";"replicate";"timepoint";"sampling.date";"DOC";"a254";"a440"
"7";7;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t0";"03.03.16";1.7;11.19258;0.4606
"8";8;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t0";"03.03.16";1.71;11.23864;0.4606
"9";9;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t0";"03.03.16";1.706666667;11.14652;0.4606
"10";10;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t0";"03.03.16";1.746666667;11.37682;0.50666
"11";11;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t0";"03.03.16";1.75;11.37682;0.4606
"12";12;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t0";"03.03.16";1.75;11.37682;0.50666
"13";13;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t0";"03.03.16";1.853333333;11.2847;0.50666
"14";14;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t0";"03.03.16";1.86;11.2847;0.4606
"15";15;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t0";"03.03.16";1.9;11.2847;0.4606
"22";22;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t1";"04.03.16";1.88;11.69924;0.55272
"23";23;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t1";"04.03.16";1.843333333;11.515;0.50666
"24";24;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t1";"04.03.16";1.83;11.46894;0.4606
"25";25;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t1";"04.03.16";1.89;11.42288;0.4606
"26";26;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t1";"04.03.16";1.823333333;11.42288;0.4606
"27";27;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t1";"04.03.16";1.806666667;11.37682;0.4606
"28";28;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t1";"04.03.16";1.82;11.42288;0.4606
"29";29;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t1";"04.03.16";1.793333333;11.37682;0.4606
"30";30;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t1";"04.03.16";1.8;11.37682;0.4606
"37";37;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t2";"06.03.16";1.696666667;10.96228;0.4606
"38";38;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t2";"06.03.16";1.653333333;10.96228;0.4606
"39";39;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t2";"06.03.16";1.65;10.87016;0.4606
"40";40;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t2";"06.03.16";1.69;10.91622;0.4606
"41";41;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t2";"06.03.16";1.656666667;10.91622;0.4606
"42";42;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t2";"06.03.16";1.66;10.96228;0.4606
"43";43;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t2";"06.03.16";1.666666667;10.87016;0.4606
"44";44;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t2";"06.03.16";1.69;10.87016;0.4606
"45";45;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t2";"06.03.16";1.68;10.96228;0.4606
"52";52;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t3";"10.03.16";1.66;10.87016;0.4606
"53";53;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t3";"10.03.16";1.6;10.87016;0.4606
"54";54;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t3";"10.03.16";1.8;11.0544;0.4606
"55";55;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t3";"10.03.16";1.65;10.96228;0.4606
"56";56;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t3";"10.03.16";1.68;11.00834;0.4606
"57";57;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t3";"10.03.16";1.61;10.8241;0.4606
"58";58;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t3";"10.03.16";1.63;10.87016;0.4606
"59";59;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t3";"10.03.16";1.66;10.96228;0.41454
"60";60;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t3";"10.03.16";1.603333333;10.68592;0.41454
"67";67;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t4";"14.03.16";1.68;10.96228;0.36848
"68";68;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t4";"14.03.16";1.65;10.96228;0.36848
"69";69;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t4";"14.03.16";1.62;10.8241;0.36848
"70";70;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t4";"14.03.16";1.603333333;10.8241;0.36848
"71";71;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t4";"14.03.16";1.73;11.0544;0.36848
"72";72;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t4";"14.03.16";1.65;10.73198;0.36848
"73";73;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t4";"14.03.16";1.6;10.77804;0.36848
"74";74;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t4";"14.03.16";1.6;10.77804;0.36848
"75";75;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t4";"14.03.16";1.62;10.8241;0.36848
"82";82;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t5";"18.03.16";1.6;10.3635;0.18424
"83";83;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t5";"18.03.16";1.63;10.63986;0.18424
"84";84;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t5";"18.03.16";1.66;10.68592;0.18424
"85";85;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t5";"18.03.16";1.63;10.45562;0.18424
"86";86;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t5";"18.03.16";1.64;10.5938;0.18424
"87";87;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t5";"18.03.16";1.63;10.5938;0.18424
"88";88;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t5";"18.03.16";1.61;10.27138;0.18424
"89";89;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t5";"18.03.16";1.65;10.63986;0.2303
"90";90;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t5";"18.03.16";1.643333333;10.63986;0.2303
"97";97;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t6";"23.03.16";1.62;10.8241;0.4606
"98";98;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t6";"23.03.16";1.646666667;11.10046;0.4606
"99";99;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t6";"23.03.16";1.64;11.10046;0.4606
"100";100;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t6";"23.03.16";1.57;10.68592;0.41454
"101";101;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t6";"23.03.16";1.61;10.96228;0.4606
"102";102;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t6";"23.03.16";1.63;11.0544;0.4606
"103";103;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t6";"23.03.16";1.6;10.77804;0.41454
"104";104;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t6";"23.03.16";1.65;11.10046;0.4606
"105";105;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t6";"23.03.16";1.66;11.19258;0.4606
"112";112;"Winter";"Epi-1";"Epi";"Epilimnion";1;"t7";"29.03.16";1.66;10.5938;0.32242
"113";113;"Winter";"Epi-2";"Epi";"Epilimnion";2;"t7";"29.03.16";1.66;10.96228;0.36848
"114";114;"Winter";"Epi-3";"Epi";"Epilimnion";3;"t7";"29.03.16";1.68;10.96228;0.36848
"115";115;"Winter";"Meta-1";"Meta";"Metalimnion";1;"t7";"29.03.16";1.703333333;10.63986;0.32242
"116";116;"Winter";"Meta-2";"Meta";"Metalimnion";2;"t7";"29.03.16";1.61;10.87016;0.36848
"117";117;"Winter";"Meta-3";"Meta";"Metalimnion";3;"t7";"29.03.16";1.6;10.91622;0.36848
"118";118;"Winter";"Hyp-1";"Hypo";"Hypolimnion";1;"t7";"29.03.16";1.59;10.63986;0.36848
"119";119;"Winter";"Hyp-2";"Hypo";"Hypolimnion";2;"t7";"29.03.16";1.626666667;10.96228;0.36848
"120";120;"Winter";"Hyp-3";"Hypo";"Hypolimnion";3;"t7";"29.03.16";1.636666667;11.00834;0.36848
"127";127;"Spring";"Epi-1";"Epi";"Epilimnion";1;"t0";"04.05.16";1.585;9.76472;0.32242
"128";128;"Spring";"Epi-2";"Epi";"Epilimnion";2;"t0";"04.05.16";1.598333333;9.71866;0.32242
"129";129;"Spring";"Epi-3";"Epi";"Epilimnion";3;"t0";"04.05.16";1.608333333;9.76472;0.32242
"130";130;"Spring";"Meta-1";"Meta";"Metalimnion";1;"t0";"04.05.16";1.675;10.31744;0.32242
"131";131;"Spring";"Meta-2";"Meta";"Metalimnion";2;"t0";"04.05.16";1.67;10.27138;0.32242
"132";132;"Spring";"Meta-3";"Meta";"Metalimnion";3;"t0";"04.05.16";1.68;10.27138;0.36848
"133";133;"Spring";"Hyp-1";"Hypo";"Hypolimnion";1;"t0";"04.05.16";1.663333333;10.45562;0.36848
"134";134;"Spring";"Hyp-2";"Hypo";"Hypolimnion";2;"t0";"04.05.16";1.663333333;10.45562;0.36848
"135";135;"Spring";"Hyp-3";"Hypo";"Hypolimnion";3;"t0";"04.05.16";1.671666667;10.45562;0.36848
"142";142;"Spring";"Epi-1";"Epi";"Epilimnion";1;"t1";"05.05.16";1.703333333;9.76472;0.36848
"143";143;"Spring";"Epi-2";"Epi";"Epilimnion";2;"t1";"05.05.16";1.745;9.9029;0.36848
"144";144;"Spring";"Epi-3";"Epi";"Epilimnion";3;"t1";"05.05.16";1.68;9.9029;0.36848
"145";145;"Spring";"Meta-1";"Meta";"Metalimnion";1;"t1";"05.05.16";1.69;10.22532;0.36848
"146";146;"Spring";"Meta-2";"Meta";"Metalimnion";2;"t1";"05.05.16";1.688333333;10.31744;0.36848
"147";147;"Spring";"Meta-3";"Meta";"Metalimnion";3;"t1";"05.05.16";1.691666667;10.40956;0.36848
